Document,Topic,pos dataset 10K (starting from 0)
":red_circle: un nouveau crépol ! des racailles venues « casser du blanc » ont affronté des agriculteurs, tuant presque l'un d'eux ! votez le 9 juin, diffusez cette info et anticipez la france de demain. la guerre civile ethno-culturelle est déjà là ! ma vidéo :",Nation,8947
"nouvelle-calédonie : un gendarme tué par un tir accidentel - par boulevard voltaire nouvellecalédonie émeutes ce mercredi 15 mai, gérald darmanin a annoncé la mise en place de l'état d'urgence en nouvelle-calédonie.",Nation,9039
"éric ciotti plaide pour un revenu net de 1500 euros pour les agriculteurs. n'importe quoi ! si même la droite sombre dans l'assistanat, on ne va pas s'en sortir ! les agriculteurs veulent qu'on les laisse bosser, pas qu'on en fasse des assistés !",Nation,9047
":movie_camera: à paris, un discours prônant la défense des agriculteurs et de la souveraineté alimentaire. à bruxelles, un discours libre-échangiste et mondialiste. j’interrogeais gabriel attal sur le double langage du gouvernement au sujet de sa politique agricole. qag :right_arrow_curving_down:",Nation,9086
":movie_camera: incapable de protéger nos productions nationales face aux accords de libre-échange, de revenir sur les surtranspositions et d’alléger la fiscalité agricole, le gouvernement a présenté un texte qui n’améliorera en rien la situation de nos agriculteurs français. directan :right_arrow_curving_down:",Nation,9100
le québec souffre d’obésité bureaucratique morbide. ma chonique du jdm.,Nation,9102
":red_apple::pear: aujourd’hui aux vergers de mataly à laffitesurlot, pour échanger avec daniel sauvaitre, directeur de l’association nationale pommes poires et gaël antoine, arboriculteur et dirigeant de cette exploitation qui produit 1 500 tonnes de pommes par an.",Nation,9149
"les députés lr affirment partager la vision agricole des macronistes : décroissance, traités de libre-échange, concurrence déloyale étrangère, surtranspositions contraignantes... c'est ça que vous défendez ? votre soumission à macron est flagrante !",Nation,9173
rappel : un traité international (de libre-échange par exemple) a une valeur juridique supérieure à la loi. i on apprend cela aux étudiants en droit dès le premier mois de cours. ces gens se moquent du monde.,Nation,9198
"2 heures du matin ! le texte sur la loi d’orientation agricole est terminé, le vote solennel aura lieu mardi prochain. directan",Nation,9250
a midi midinews spéciale agriculteurencolere - agriculteur: «siège» de paris et blindés: fallait-il en arriver là? - europe normes la faute à bruxelles? vonderleyen - agriculture notre souveraineté alimentaire menacée? - ukraine poulet une concurrence déloyale assumée?,Nation,9253
"l’union européenne prône une politique de décroissance. avec le pacte vert, elle ambitionne de réduire les surfaces agricoles. leur idéologie est simple : tout ce que fait le homme est toxique. il faut donc réduire l’activité de l’homme, et l’agriculture en fait partie.",Nation,9267
":check_mark_button: oui, à la préservation des haies ! :cross_mark: non, au totalitarisme de l’administration ! les agriculteurs demandent de la souplesse, de la confiance et du bon sens ! ploa",Nation,9275
peut-être a t’il enfin compris que nos agriculteurs veulent des actes et n’ont pas à servir de béquille à sa promotion.,Nation,9286
"[entretien] nouvelle-calédonie : « veut-on renoncer à être une grande puissance ? » - par gabriel decroix la chine s’est déjà emparée de tout l’arc mélanésien, les fidji, le vanuatu, la micronésie. reste la nouvelle-calédonie.",Nation,9303
:red_circle: propos honteux de pascal lavergne en hémicycle qui se permet de se moquer ouvertement des membres de la . les agriculteurs lot-et-garonnais se souviendront de ce mépris de classe… et moi aussi ! directan,Nation,9318
"ivgconstitution / j’ai eu de nombreuses discussions, amicales et franches, avec simone veil. si elle était là, elle ne serait pas d'accord et je vais vous expliquer pourquoi. elle m’a dit deux choses : 1/ ""relisez ma loi, philippe, l’article 1 garantit le respect de tout être",Nation,9364
:strawberry::grapes:toujours au plus près des lot-et-garonnais : aujourd’hui avec des agriculteurs et vignerons afin d’échanger sur leurs problématiques notamment la concurrence déloyale ou encore l’absence de propositions du gouvernement suite à l’arrachage des vignes dû au mildiou.,Nation,9367
":red_circle: gabriel attal vient d'annoncer 10 mesures, mais aucune ne s'attaque au fond du problème : la concurrence déloyale créée par le libre-échange mondialisé si cher à ses alliés européens. agriculteursencolère",Nation,9379
attention à ce que vous écrivez. philippe de villiers n’a jamais été membre du rpr. il fut membre de l’udf mais en est parti très vite... ( vérifier avant d’écrire ),Nation,9391
"les comores mènent à mayotte une guerre démographique. le problème, c'est qu'ils mènent cette guerre avec la complicité de nos dirigeants !",Nation,9425
"à quelques jours des élections européennes, des agriculteurs français et espagnols bloquent la frontière à biriatou (pyrénées-atlantiques) : si vous croyez, gouvernants, qu'on peut se payer les paysans sans le payer un jour, vous rêvez, c'est pas fini !",Nation,9478
une folie ! l'élargissement sans fin de l'ue à l'ukraine et à la moldavie ne fera que favoriser l'appauvrissement de nos agriculteurs et la perte de compétitivité de notre industrie. les français vont devoir débourser des dizaines de mds€ pour pallier ces adhésions !,Nation,9500
":writing_hand_medium-light_skin_tone: interpellée lors de mes différentes visites chez les producteurs lot-et-garonnais de tomates:tomato: au sujet de la concurrence déloyale qu’ils subissent, je demande au ministre de l’agriculture de supprimer la réduction de droits de douane des produits exportés en saison estivale.",Nation,9547
":classical_building::france: dans quelques minutes, retrouvez ma question au ministre de l’agriculture concernant la grippeaviaire. :right_arrow:",Nation,9549
"au sia, le duo macron/attal s’engageait à défendre les agriculteurs contre les effets nocifs des traités de libre-échange. aujourd’hui, leurs députés européens ont voté le nouvel accord avec le chili. ainsi va la macronie, de reniement en mensonge, de revirement en trahison.",Nation,9578
:sheaf_of_rice: :man_farmer_light_skin_tone: toujours aux côtés des agriculteursencolère à agen avec : de nombreux échanges autour de leurs difficultés quotidiennes que je continuerai à faire remonter à l’assemblée nationale. on vous soutient ! lotetgaronne,Nation,9584
":fishing_pole: surtransposition des normes européennes, harcèlement administratif, concurrence étrangère, fanatisme vert : complètement asphyxiés, les pêcheurs du grau-du-roi se battent pour leur survie. à bruxelles, les élus les défendront !",Nation,9627
"la nouvellecalédonie est en état de guerre. l’état ne doit pas reculer : après trois référendums, il est hors de question de laisser la violence l’emporter sur la démocratie. le gouvernement doit déclencher immédiatement l’état d’urgence pour rétablir l’ordre et la sécurité.",Nation,9632
"vous dites qu'une défaite du camp du oui va affaiblir le québec, ce qui est vrai, mais vous allez voter non pour provoquer cette défaite, ce qui est absurde.",Nation,9654
"c’est la même personne qui a ""protégé"" les agriculteurs français…:clown_face: avec des protecteurs comme ça, pas besoin de prédateurs. canfin agriculteursencolère",Nation,9657
":red_circle: les désaccords au sein du frontpopulaire concernent également la position à adopter vis-à-vis du massacre du 7 octobre ainsi que le sort d'adrien quatennens, condamné pour violences conjugales. :right_arrow_curving_down:",Nation,9660
"à saintebazeille aujourd’hui pour l’inauguration de la 39e foire à la fraise :strawberry:, aux fleurs :cherry_blossom: et au vin :wine_glass:. une très bel événement qui met à l’honneur notre patrimoine lot-et-garonnais agricole, culinaire et artisanal !",Nation,9663
"philippe poutou (npa) : ""on veut la personne la plus radicale possible pour incarner le frontpopulaire (…) nous sommes plus proches des mélenchon, ruffin""",Nation,9688
:yellow_circle: ce soir à boé aux côtés des agriculteurs lot-et-garonnais à l’occasion de l’assemblée générale de la .,Nation,9716
"le foncier agricole :france: est surtaxé par rapport aux autres pays :european_union: : taxe foncière sur les propriétés non bâties, impôt sur la fortune immobilière, taux d’exonération insuffisant. :right_arrow:adaptons notre fiscalité afin de donner la possibilité à nos agriculteurs de vivre de leur métier.",Nation,9741
"la candidate macroniste se félicite d'avoir voté le pacte vert. mais quels sont les résultats du pacte vert ? des milliers d'agriculteurs en colère, descendus dans les rues parce qu'ils n'arrivent plus à travailler et à vivre de leurs efforts ! montbéliard",Nation,9812
"le changement climatique impose de nouveaux défis à nos producteurs et à nos agriculteurs. ici, à la réunion, les producteurs de vanille sont en train de s’adapter par la mise en place d’autres modes de production. les filières impactées doivent être aidées et accompagnées.",Nation,9815
a midi midinews - bruxelles le parlement encerclé colereagriculteurs - paris cap sur l’assemblée nationale? - attal de nouvelles mesures annoncées à midi - colere la stratégie de l’essoufflement par le gvt? - christophe guilluy et la france des dépossédés,Nation,9816
